Date,Crime Count,Moon Phase,Special,Special Type
5/23/15,98.0,,,
5/24/15,89.0,,,
5/25/15,87.0,First Quarter,n,
5/26/15,74.0,,,
5/27/15,91.0,,,
5/28/15,89.0,,,
5/29/15,77.0,,,
5/3/15,81.0,Full Moon,n,
5/30/15,90.0,,,
5/31/15,71.0,,,
5/4/15,81.0,,,
5/5/15,84.0,,,
5/6/15,93.0,,,
5/7/15,84.0,,,
5/8/15,84.0,,,
5/9/15,86.0,,,
6/1/15,71.0,,,
6/10/15,74.0,,,
6/11/15,88.0,,,
6/12/15,102.0,,,
6/13/15,92.0,,,
6/14/15,81.0,,,
6/15/15,72.0,,,
6/16/15,100.0,New Moon,n,
6/17/15,74.0,,,
6/18/15,81.0,,,
6/19/15,102.0,,,
6/2/15,68.0,Full Moon,n,
6/20/15,116.0,,,
6/21/15,93.0,,,
6/22/15,83.0,,,
6/23/15,111.0,,,
6/24/15,80.0,First Quarter,n,
6/25/15,108.0,,,
6/26/15,123.0,,,
6/27/15,111.0,,,
6/28/15,88.0,,,
6/29/15,83.0,,,
6/3/15,74.0,,,
6/30/15,88.0,,,
6/4/15,77.0,,,
6/5/15,107.0,,,
6/6/15,105.0,,,
6/7/15,94.0,,,
6/8/15,95.0,,,
6/9/15,90.0,Third Quarter,n,
7/1/15,106.0,Full Moon,n,
7/10/15,87.0,,,
7/11/15,100.0,,,
7/12/15,72.0,,,
7/13/15,102.0,,,
7/14/15,99.0,,,
7/15/15,94.0,New Moon,n,
7/16/15,96.0,,,
7/17/15,99.0,,,
7/18/15,106.0,,,
7/19/15,88.0,,,
7/2/15,119.0,,,
7/20/15,64.0,,,
7/21/15,81.0,,,
7/22/15,87.0,,,
7/23/15,67.0,First Quarter,n,
7/24/15,77.0,,,
7/25/15,95.0,,,
7/26/15,76.0,,,
7/27/15,99.0,,,
7/28/15,81.0,,,
7/29/15,86.0,,,
7/3/15,85.0,,,
7/30/15,77.0,,,
7/31/15,97.0,Full Moon,y,Blue Moon
7/4/15,71.0,,,
7/5/15,69.0,,,
7/6/15,93.0,,,
7/7/15,79.0,,,
7/8/15,79.0,Third Quarter,n,
7/9/15,72.0,,,
8/1/15,101.0,,,
8/10/15,100.0,,,
8/11/15,84.0,,,
8/12/15,88.0,,,
8/13/15,81.0,,,
8/14/15,106.0,New Moon,n,
8/15/15,98.0,,,
8/16/15,87.0,,,
8/17/15,91.0,,,
8/18/15,90.0,,,
8/19/15,74.0,,,
8/2/15,81.0,,,
8/20/15,79.0,,,
8/21/15,86.0,,,
8/22/15,99.0,First Quarter,n,
8/23/15,94.0,,,
8/24/15,82.0,,,
8/25/15,107.0,,,
8/26/15,85.0,,,
8/27/15,94.0,,,
8/28/15,117.0,,,
8/29/15,99.0,Full Moon,y,Super Full Moon
8/3/15,96.0,,,
8/30/15,99.0,,,
8/31/15,98.0,,,
8/4/15,88.0,,,
8/5/15,77.0,,,
8/6/15,84.0,Third Quarter,n,
8/7/15,84.0,,,
8/8/15,86.0,,,
8/9/15,79.0,,,
9/1/15,86.0,,,
9/10/15,81.0,,,
9/11/15,96.0,,,
9/12/15,102.0,New Moon,y,Micro New Moon
9/13/15,75.0,,,
9/14/15,88.0,,,
9/15/15,97.0,,,
9/16/15,85.0,,,
9/17/15,76.0,,,
9/18/15,98.0,,,
9/19/15,82.0,,,
9/2/15,70.0,,,
9/20/15,91.0,,,
9/21/15,78.0,First Quarter,n,
9/22/15,88.0,,,
9/23/15,80.0,,,
9/24/15,87.0,,,
9/25/15,86.0,,,
9/26/15,92.0,,,
9/27/15,88.0,Full Moon,y,"Super Full Moon, Total Lunar Eclipse"
9/28/15,91.0,,,
9/29/15,87.0,,,
9/3/15,77.0,,,
9/30/15,86.0,,,
9/4/15,99.0,,,
9/5/15,115.0,Third Quarter,n,
9/6/15,98.0,,,
9/7/15,98.0,,,
9/8/15,105.0,,,
9/9/15,88.0,,,
,,,,
