Date,Crime Count,Moon Phase,Special,Special Type
5/21/2015,188.0,,,
5/22/2015,163.0,,,
5/23/2015,134.0,,,
5/24/2015,140.0,,,
5/25/2015,140.0,First Quarter,n,
5/26/2015,189.0,,,
5/27/2015,149.0,,,
5/28/2015,147.0,,,
5/29/2015,158.0,,,
5/3/2015,130.0,Full Moon,n,
5/30/2015,167.0,,,
5/31/2015,135.0,,,
5/4/2015,146.0,,,
5/5/2015,151.0,,,
5/6/2015,169.0,,,
5/7/2015,143.0,,,
5/8/2015,150.0,,,
5/9/2015,125.0,,,
6/1/2015,173.0,,,
6/10/2015,175.0,,,
6/11/2015,125.0,,,
6/12/2015,164.0,,,
6/13/2015,155.0,,,
6/14/2015,148.0,,,
6/15/2015,162.0,,,
6/16/2015,137.0,New Moon,n,
6/17/2015,156.0,,,
6/18/2015,145.0,,,
6/19/2015,139.0,,,
6/2/2015,145.0,Full Moon,n,
6/20/2015,135.0,,,
6/21/2015,163.0,,,
6/22/2015,142.0,,,
6/23/2015,169.0,,,
6/24/2015,154.0,First Quarter,n,
6/25/2015,187.0,,,
6/26/2015,156.0,,,
6/27/2015,143.0,,,
6/28/2015,144.0,,,
6/29/2015,152.0,,,
6/3/2015,147.0,,,
6/30/2015,134.0,,,
6/4/2015,152.0,,,
6/5/2015,172.0,,,
6/6/2015,144.0,,,
6/7/2015,153.0,,,
6/8/2015,147.0,,,
6/9/2015,145.0,Third Quarter,n,
7/1/2015,167.0,Full Moon,n,
7/10/2015,171.0,,,
7/11/2015,157.0,,,
7/12/2015,114.0,,,
7/13/2015,126.0,,,
7/14/2015,144.0,,,
7/15/2015,156.0,New Moon,n,
7/16/2015,159.0,,,
7/17/2015,186.0,,,
7/18/2015,151.0,,,
7/19/2015,124.0,,,
7/2/2015,167.0,,,
7/20/2015,154.0,,,
7/21/2015,161.0,,,
7/22/2015,163.0,,,
7/23/2015,165.0,First Quarter,n,
7/24/2015,190.0,,,
7/25/2015,151.0,,,
7/26/2015,166.0,,,
7/27/2015,145.0,,,
7/28/2015,159.0,,,
7/29/2015,174.0,,,
7/3/2015,176.0,,,
7/30/2015,162.0,,,
7/31/2015,172.0,Full Moon,y,Blue Moon
7/4/2015,155.0,,,
7/5/2015,125.0,,,
7/6/2015,155.0,,,
7/7/2015,162.0,,,
7/8/2015,130.0,Third Quarter,n,
7/9/2015,134.0,,,
8/1/2015,158.0,,,
8/10/2015,141.0,,,
8/11/2015,116.0,,,
8/12/2015,153.0,,,
8/13/2015,130.0,,,
8/14/2015,154.0,New Moon,n,
