,Moon Phase,Date
173,0.6320833333333333,7/15/15
174,1.7329166666666669,6/15/15
175,31.49916666666667,3/15/15
176,9.738333333333337,5/15/15
177,13.832916666666668,11/15/15
178,5.7091666666666665,10/15/15
179,4.351666666666667,9/15/15
180,7.767500000000003,4/16/15
181,3.2750000000000004,8/16/15
182,26.885,12/16/15
183,9.48125,2/16/15
184,20.848333333333333,1/16/15
185,0.43,7/16/15
186,0.2954166666666668,6/16/15
187,21.412500000000005,3/16/15
188,3.9983333333333335,5/16/15
189,21.74083333333333,11/16/15
190,11.024583333333332,10/16/15
191,9.000833333333334,9/16/15
192,2.6158333333333337,4/17/15
193,7.415833333333333,8/17/15
194,37.25,12/17/15
195,3.7383333333333333,2/17/15
196,12.767500000000005,1/17/15
197,2.2537500000000006,7/17/15
198,1.2016666666666664,6/17/15
199,12.595833333333333,3/17/15
200,0.8379166666666665,5/17/15
201,31.06375,11/17/15
202,17.930416666666673,10/17/15
203,15.170416666666664,9/17/15
204,0.27458333333333323,4/18/15
205,13.07583333333333,8/18/15
206,48.36666666666665,12/18/15
207,0.6466666666666667,2/18/15
208,6.288333333333331,1/18/15
209,5.9225,7/18/15
210,4.258333333333334,6/18/15
211,5.7425,3/18/15
212,0.3529166666666667,5/18/15
213,41.45541666666666,11/18/15
214,26.25,10/18/15
215,22.69708333333333,9/18/15
216,0.8420833333333332,4/19/15
217,20.060416666666672,8/19/15
218,59.665833333333346,12/19/15
219,0.5604166666666667,2/19/15
220,1.9770833333333335,1/19/15
221,11.21125,7/19/15
222,9.175833333333333,6/19/15
223,1.4608333333333337,3/19/15
224,2.4266666666666663,5/19/15
225,52.48083333333334,11/19/15
226,35.74166666666667,10/19/15
227,31.384999999999994,9/19/15
228,4.138749999999999,4/20/15
229,28.16541666666667,8/20/15
230,70.53958333333333,12/20/15
231,3.519166666666667,2/20/15
232,0.30875,1/20/15
233,17.87125,7/20/15
234,15.62666666666667,6/20/15
235,0.1445833333333333,3/20/15
236,6.759583333333333,5/20/15
237,63.61500000000001,11/20/15
238,46.09958333333333,10/20/15
239,40.99333333333333,9/20/15
240,9.760833333333332,4/21/15
241,37.167916666666656,8/21/15
242,80.37083333333331,12/21/15
243,9.235833333333334,2/21/15
244,1.5520833333333333,1/21/15
245,25.64416666666667,7/21/15
246,23.274999999999995,6/21/15
247,1.8741666666666663,3/21/15
248,12.94875,5/21/15
249,74.24916666666667,11/21/15
250,56.93208333333334,10/21/15
251,51.23458333333334,9/21/15
252,17.19,4/22/15
253,46.82041666666666,8/22/15
254,88.59125,12/22/15
255,17.169583333333335,2/22/15
256,5.697083333333333,1/22/15
257,34.28208333333334,7/22/15
258,31.799583333333338,6/22/15
259,6.411666666666666,3/22/15
260,20.550833333333333,5/22/15
261,83.72999999999998,11/22/15
262,67.74749999999999,10/22/15
263,61.7425,9/22/15
264,25.87583333333333,4/23/15
265,56.83458333333334,8/23/15
266,94.72916666666669,12/23/15
267,26.6475,2/23/15
268,12.429166666666667,1/23/15
269,43.53333333333333,7/23/15
270,40.90625,6/23/15
271,13.26833333333333,3/23/15
272,29.14541666666668,5/23/15
273,91.41625,11/23/15
274,77.95291666666667,10/23/15
275,72.05416666666666,9/23/15
276,35.31458333333333,4/24/15
277,66.86291666666666,8/24/15
278,98.47708333333333,12/24/15
279,36.99125,2/24/15
280,21.205416666666665,1/24/15
281,53.13249999999999,7/24/15
282,50.31583333333333,6/24/15
283,21.819166666666664,3/24/15
284,38.34875,5/24/15
285,96.7675,11/24/15
286,86.87916666666666,10/24/15
287,81.60666666666667,9/24/15
288,45.07125,4/25/15
289,76.47416666666666,8/25/15
290,99.71,12/25/15
291,47.600000000000016,2/25/15
292,31.360416666666666,1/25/15
293,62.79916666666666,7/25/15
294,59.75625,6/25/15
295,31.44,3/25/15
296,47.82583333333334,5/25/15
297,99.43791666666668,11/25/15
298,93.85166666666667,10/25/15
299,89.75124999999998,9/25/15
300,54.78625,4/26/15
301,85.15041666666667,8/26/15
302,98.50458333333331,12/26/15
303,57.97458333333334,2/26/15
304,42.21,1/26/15
305,72.19541666666667,7/26/15
306,68.95083333333332,6/26/15
307,41.55916666666667,3/26/15
308,57.28291666666666,5/26/15
309,99.32541666666664,11/26/15
310,98.28458333333332,10/26/15
311,95.82041666666667,9/26/15
312,64.15875000000001,4/27/15
313,92.29958333333332,8/27/15
314,95.08541666666667,12/27/15
315,67.73,2/27/15
316,53.13875000000001,1/27/15
317,80.93416666666667,7/27/15
318,77.58875000000002,6/27/15
319,51.70625,3/27/15
320,66.44875,5/27/15
321,96.58416666666666,11/27/15
322,99.81333333333336,10/27/15
323,99.24458333333332,9/27/15
324,72.92750000000002,4/28/15
325,97.31916666666665,8/28/15
326,89.78458333333332,12/28/15
327,76.55791666666669,2/28/15
328,63.62583333333333,1/28/15
329,88.55416666666667,7/28/15
330,85.32708333333333,6/28/15
331,61.50875,3/28/15
332,75.05791666666666,5/28/15
333,91.56958333333334,11/28/15
334,98.36958333333335,10/28/15
335,99.66708333333334,9/28/15
336,80.85,4/29/15
337,99.69375,8/29/15
338,82.98083333333334,12/29/15
339,73.25333333333333,1/29/15
340,94.55291666666666,7/29/15
341,91.77958333333332,6/29/15
342,70.66333333333333,3/29/15
343,82.83666666666667,5/29/15
344,84.74499999999998,11/29/15
345,94.18708333333336,10/29/15
346,97.04625,9/29/15
347,87.69125000000004,4/30/15
348,99.11083333333336,8/30/15
349,75.05333333333333,12/30/15
350,81.695,1/30/15
351,98.42666666666668,7/30/15
352,96.54291666666666,6/30/15
353,78.92125,3/30/15
354,89.49375000000002,5/30/15
355,76.6075,11/30/15
356,87.72625000000002,10/30/15
357,91.66666666666669,9/30/15
358,95.55041666666666,8/31/15
359,66.34291666666667,12/31/15
360,88.69875000000002,1/31/15
361,99.75249999999998,7/31/15
362,86.06541666666664,3/31/15
363,94.72375,5/31/15
364,79.57166666666666,10/31/15
