,Moon Phase,Date
0,91.90333333333336,4/1/15
1,98.27875,8/1/15
2,67.61541666666668,12/1/15
3,94.08249999999998,2/1/15
4,85.04399999999998,1/1/15
5,99.22875,7/1/15
6,98.22124999999998,6/1/15
7,84.21583333333334,3/1/15
8,93.21666666666664,5/1/15
9,70.31250000000001,11/1/15
10,84.05708333333334,10/1/15
11,89.29874999999998,9/1/15
12,96.25666666666666,4/2/15
13,94.0,8/2/15
14,58.17499999999999,12/2/15
15,97.72291666666666,2/2/15
16,92.34583333333336,1/2/15
17,99.51916666666666,7/2/15
18,99.71249999999998,6/2/15
19,90.51,3/2/15
20,97.20083333333332,5/2/15
21,60.47749999999999,11/2/15
22,74.86874999999998,10/2/15
23,80.89375,9/2/15
24,98.97208333333332,4/3/15
25,87.17833333333333,8/3/15
26,48.62416666666666,12/3/15
27,99.555,2/3/15
28,96.77375,1/3/15
29,97.23708333333332,7/3/15
30,98.98458333333332,6/3/15
31,95.28125,3/3/15
32,99.42999999999996,5/3/15
33,50.51375,11/3/15
34,64.75708333333334,10/3/15
35,70.99916666666665,9/3/15
36,99.92125000000004,4/4/15
37,78.3,8/4/15
38,39.254166666666656,12/4/15
39,99.57083333333334,2/4/15
40,99.21041666666667,1/4/15
41,92.39416666666664,7/4/15
42,95.93458333333332,6/4/15
43,98.41041666666663,3/4/15
44,99.73125,5/4/15
45,40.78375,11/4/15
46,54.307916666666664,10/4/15
47,60.3025,9/4/15
48,99.02291666666667,4/5/15
49,67.99375,8/5/15
50,30.326250000000005,12/5/15
51,97.80833333333334,2/5/15
52,99.6575,1/5/15
53,85.20958333333333,7/5/15
54,90.59333333333332,6/5/15
55,99.81166666666668,3/5/15
56,97.9875,5/5/15
57,31.580416666666668,11/5/15
58,43.99916666666666,10/5/15
59,49.41958333333333,9/5/15
60,96.24625,4/6/15
61,56.93125000000001,8/6/15
62,22.08916666666667,12/6/15
63,94.35499999999998,2/6/15
64,98.18958333333336,1/6/15
65,76.09625000000003,7/6/15
66,83.14666666666666,6/6/15
67,99.44375,3/6/15
68,94.16416666666665,5/6/15
69,23.15875,11/6/15
70,34.214166666666664,10/6/15
71,38.875416666666666,9/6/15
72,91.61583333333333,4/7/15
73,45.75625,8/7/15
74,14.795833333333334,12/7/15
75,89.33583333333333,2/7/15
76,94.94666666666667,1/7/15
77,65.60166666666667,7/7/15
78,73.93083333333333,6/7/15
79,97.30458333333333,3/7/15
