Date of Crime,Crime,Violent Crime,NonViolent Crime
6/29/15,83,28,55
6/3/15,74,23,51
6/30/15,88,21,67
6/4/15,77,18,59
6/5/15,107,25,82
6/6/15,105,31,74
6/7/15,94,21,73
6/8/15,95,31,64
6/9/15,90,23,67
7/1/15,106,32,74
7/10/15,87,35,52
7/11/15,100,31,69
7/12/15,72,23,49
7/13/15,102,30,72
7/14/15,99,39,60
7/15/15,94,26,68
7/16/15,96,31,65
7/17/15,99,27,72
7/18/15,106,26,80
7/19/15,88,13,75
7/2/15,119,35,84
7/20/15,64,22,42
7/21/15,81,21,60
7/22/15,87,25,62
7/23/15,67,22,45
7/24/15,77,17,60
7/25/15,95,22,73
7/26/15,76,28,48
7/27/15,99,32,67
7/28/15,81,25,56
7/29/15,86,25,61
7/3/15,85,24,61
7/30/15,77,14,63
7/31/15,97,28,69
7/4/15,71,30,41
7/5/15,69,21,48
7/6/15,93,25,68
7/7/15,79,18,61
7/8/15,79,21,58
7/9/15,72,23,49
8/1/15,101,24,77
8/10/15,100,29,71
8/11/15,84,23,61
8/12/15,88,23,65
8/13/15,81,25,56
8/14/15,106,28,78
8/15/15,98,29,69
8/16/15,87,20,67
8/17/15,91,28,63
8/18/15,90,22,68
8/19/15,74,19,55
8/2/15,81,18,63
8/20/15,79,17,62
8/21/15,86,19,67
8/22/15,99,23,76
8/23/15,94,27,67
8/24/15,82,20,62
8/25/15,107,25,82
8/26/15,85,31,54
8/27/15,94,20,74
8/28/15,117,34,83
8/29/15,99,24,75
8/3/15,96,26,70
8/30/15,99,38,61
8/31/15,98,25,73
8/4/15,88,22,66
8/5/15,77,30,47
8/6/15,84,16,68
8/7/15,84,17,67
8/8/15,86,24,62
8/9/15,79,20,59
9/1/15,86,26,60
9/10/15,81,24,57
9/11/15,96,26,70
9/12/15,102,18,84
9/13/15,75,23,52
9/14/15,88,21,67
9/15/15,97,30,67
9/16/15,85,25,60
9/17/15,76,19,57
9/18/15,98,26,72
9/19/15,82,31,51
9/2/15,70,24,46
9/20/15,91,26,65
9/21/15,78,27,51
9/22/15,88,32,56
9/23/15,80,16,64
9/24/15,87,19,68
9/25/15,86,28,58
9/26/15,92,15,77
9/27/15,88,23,65
9/28/15,91,30,61
9/29/15,87,25,62
9/3/15,77,24,53
9/30/15,86,32,54
9/4/15,99,23,76
9/5/15,115,22,93
9/6/15,98,20,78
9/7/15,98,29,69
9/8/15,105,35,70
9/9/15,88,22,66
